clothes_class,Type I,Type II,Type III,Type IV,Type V,Type VI
Spring,0.05732484076433121,0.31731325998841925,0.38737695425593516,0.10191082802547771,0.05848291835552982,0.07759119861030689
Summer,0.06177948566361218,0.2651492757907183,0.3709725096068578,0.13035767070647356,0.062370676913981675,0.10937038131835648
Autumn,0.053386641580432735,0.2645813734713076,0.37582314205079964,0.1488711194731891,0.05950141110065851,0.09783631232361242
Winter,0.12140928062852933,0.32089369015467717,0.2886079057205991,0.09071937147066045,0.06358949177510434,0.11478026025042966
